ISO,country,oos_primary_f,oos_upsec_f,completion_primary_f,literacy_f,completion_primary_gap,oos_upsec_gap
JAM,Jamaica,,19.36783,99.6,98.8,0.5999999999999943,-4.869129999999998
JPN,Japan,1.56388,1.92924,,,,-2.0701199999999997
JOR,Jordan,,46.07643,96.93236363724668,99.20273,0.8889728939766712,-6.877220000000001
KAZ,Kazakhstan,0.06455,0.47984,99.9,99.85091,0.10000000000000853,-2.6101300000000003
KEN,Kenya,15.05817,,81.6,86.13652,5.0,
KIR,Kiribati,,,,,,
KWT,Kuwait,6.90047,16.40917,,99.50355,,-3.9645599999999988
KGZ,Kyrgyzstan,1.71944,26.36492,99.4,,0.30000000000001137,-3.560929999999999
LAO,Lao People's Democratic Republic,7.17883,41.08387,86.42589321302252,90.50107,-0.6589374858962458,5.849649999999997
LVA,Latvia,2.17788,3.6427,,99.87011,,-1.3178899999999998
LBN,Lebanon,13.97448,33.53088,,,,-0.3359099999999984
LSO,Lesotho,17.41473,39.02002,83.2,93.96988,23.200000000000003,-7.414119999999997
LBR,Liberia,63.64984,34.22615,32.6,,-3.299999999999997,9.895219999999998
LBY,Libya,,,,,,
LIE,Liechtenstein,1.9334,,,,,
LTU,Lithuania,0.12104,3.133,,99.86662,,-1.3033599999999996
LUX,Luxembourg,1.09671,15.99787,,,,-3.5480099999999997
MDG,Madagascar,,,,75.30385,,
MWI,Malawi,,65.25073,51.5,73.3858,8.799999999999997,6.478760000000001
MYS,Malaysia,1.23454,31.93911,,97.85761,,-8.880409999999998
MDV,Maldives,0.49595,,,99.43955,,
MLI,Mali,36.5337,76.59864,40.7,39.20776,-9.0,8.48854
MLT,Malta,0.24276,9.33149,,99.38657,,-6.878680000000001
MHL,Marshall Islands,18.84428,28.45149,,98.7567,,-11.241869999999999
MRT,Mauritania,21.51726,72.90083,55.93695562584081,,-8.145568150960969,0.5087900000000047
MUS,Mauritius,2.72192,14.68563,,98.57592,,-7.134889999999999
MEX,Mexico,0.09136,28.81545,95.9,99.20723,-0.5999999999999943,-2.824950000000001
FSM,Micronesia (Federated States of),14.60707,,,,,
MCO,Monaco,,,,,,
MNG,Mongolia,1.68763,,98.5,98.90874,2.200000000000003,
MNE,Montenegro,4.06977,14.4041,99.9,99.05261,0.0,0.6091599999999993
MSR,Montserrat,,,,,,
MAR,Morocco,3.34856,32.76111,,87.7834,,6.796800000000001
MOZ,Mozambique,13.76539,73.5749,37.2,62.66699,-6.099999999999994,7.798329999999993
MMR,Myanmar,,42.55308,84.0,84.41379,5.900000000000006,-7.661659999999998
NAM,Namibia,0.43826,,86.1,95.34632,11.099999999999994,
NRU,Nauru,14.23267,60.10101,,,,4.75217
NPL,Nepal,6.58225,17.97327,76.4,80.20683,-2.1999999999999886,-15.06709
NLD,Netherlands,,0.57223,,,,-0.48252000000000006
NZL,New Zealand,0.54458,0.10552,,,,-4.15456
NIC,Nicaragua,,,,,,
NER,Niger,37.96412,88.87069,23.6,31.64391,-11.199999999999996,6.249189999999999
NGA,Nigeria,,,79.2,,-2.0999999999999943,
NIU,Niue,,,,,,
MKD,North Macedonia,8.46039,,99.3,98.5,-0.4000000000000057,
NOR,Norway,0.16893,7.19268,,,,-0.8180299999999994
OMN,Oman,1.02755,11.69857,,98.95638,,-0.7739999999999991
PAK,Pakistan,29.39304,67.40446,55.41709819894092,65.54779,-8.634318856027264,9.957239999999999
PLW,Palau,,,,99.17051,,
PAN,Panama,12.60659,30.84499,95.5,97.33687,0.7000000000000028,-4.603060000000003
PNG,Papua New Guinea,25.17283,50.08276,,71.4,,11.303249999999998
PRY,Paraguay,10.95186,29.57058,95.1,98.70381,6.3999999999999915,-2.683100000000003
PER,Peru,0.07131,,95.1,98.85308,0.19999999999998863,
PHL,Philippines,4.07627,16.70764,95.15562629026579,98.81543,6.614674480670772,-6.829909999999998
POL,Poland,4.30842,6.92797,,,,-1.1194500000000005
PRT,Portugal,3.8045,2.92029,,99.47964,,2.55917
QAT,Qatar,1.74021,16.15717,,97.26477,,-26.81375
KOR,Republic of Korea,3.26181,0.98848,,,,0.06644000000000005
MDA,Republic of Moldova,10.39165,34.63445,99.5,99.58578,0.7999999999999972,-0.9500899999999959
ROU,Romania,9.90415,22.03563,,98.97622,,-1.3278399999999984
RUS,Russian Federation,1.82697,9.06163,,99.75802,,-1.3196200000000005
RWA,Rwanda,5.74566,,60.9,86.26225,13.0,
KNA,Saint Kitts and Nevis,,,,,,
LCA,Saint Lucia,,17.37504,99.0,,-0.20000000000000284,-6.344000000000001
VCT,Saint Vincent and the Grenadines,2.20901,13.63392,,,,2.4355899999999995
WSM,Samoa,3.23741,14.59826,,99.45804,,-8.77243
SMR,San Marino,7.09677,,,,,
STP,Sao Tome and Principe,3.27321,17.76,85.6,96.35088,6.8999999999999915,-2.416409999999999
SAU,Saudi Arabia,0.3292,7.52954,,99.13699,,-1.4829800000000004
SEN,Senegal,20.59842,62.3304,51.01004899261405,63.50271,3.2047448574492137,-2.161699999999996
SRB,Serbia,1.358,9.87155,99.8,99.72468,0.8999999999999915,-2.4421300000000006
SYC,Seychelles,,3.62832,,99.38308,,-1.0765600000000002
SLE,Sierra Leone,0.54045,62.712,65.1,50.85709,1.7999999999999972,2.0482200000000006
SGP,Singapore,,,,99.94051,,
SVK,Slovakia,,9.87581,,,,-0.3319900000000011
SVN,Slovenia,1.58733,4.07939,,99.9,,-0.9319199999999999
SLB,Solomon Islands,30.20762,,,,,
SOM,Somalia,,,,,,
ZAF,South Africa,8.19847,19.48515,97.92231889402125,99.22904,3.198710348755867,4.04617
SSD,South Sudan,72.23413,74.81652,17.6,,-12.399999999999999,13.55238
ESP,Spain,1.39926,0.71887,,99.60606,,-0.86167
LKA,Sri Lanka,3.57131,16.0262,,99.14777,,-5.320150000000002
PSE,State of Palestine,6.27012,25.64829,99.5,99.31307,0.7000000000000028,-18.554199999999998
SDN,Sudan,38.41319,,72.58979487293689,,1.6976682342545786,
SUR,Suriname,7.91656,33.46942,89.9,97.25966,9.900000000000006,-8.241109999999999
SWE,Sweden,0.51222,2.85235,,,,1.4349399999999999
CHE,Switzerland,0.18165,18.97547,,,,2.2818700000000014
SYR,Syrian Arab Republic,33.47743,67.14821,,,,-0.5053199999999975
TJK,Tajikistan,2.15422,,97.84585186197731,99.9,-1.1837432217119215,
THA,Thailand,,21.00417,97.80450011203884,98.29299,-0.1811094907781836,0.15302999999999756
TLS,Timor-Leste,17.72786,25.92439,84.82213665242767,78.56844,7.960651122028835,-3.983520000000002
TGO,Togo,11.26805,65.96714,58.9,78.37085,-6.699999999999996,18.944830000000003
TKL,Tokelau,,80.43478,,,,18.896320000000003
TON,Tonga,2.55557,37.99815,,99.51043,,-9.576709999999999
TTO,Trinidad and Tobago,,,,99.6,,
TUN,Tunisia,,,96.5,95.80119,2.9000000000000057,
TUR,Turkey,5.95287,16.45536,97.9,99.37155,-1.1999999999999886,1.0094199999999987
TKM,Turkmenistan,,,99.7,99.9,-0.29999999999999716,
TCA,Turks and Caicos Islands,,,,,,
TUV,Tuvalu,,46.40288,,,,-11.7911
UGA,Uganda,7.57807,,36.2,81.6542,3.6000000000000014,
UKR,Ukraine,6.26277,3.64654,99.3,99.98272,-0.7000000000000028,-2.8247999999999998
ARE,United Arab Emirates,3.64882,19.17869,,,,6.02342
GBR,United Kingdom,0.30799,1.59446,,,,-1.0542
TZA,United Republic of Tanzania,17.92332,88.3636,83.5,84.6408,8.299999999999997,3.5753500000000003
USA,United States,4.29742,6.27499,,,,-1.0242300000000002
URY,Uruguay,1.66683,16.21137,95.4,99.31699,3.4000000000000057,-6.697950000000002
UZB,Uzbekistan,2.2773,16.82546,,100.0,,1.0261999999999993
VUT,Vanuatu,12.02528,45.80214,,95.6,,2.843180000000004
VEN,Venezuela (Bolivarian Republic of),13.92018,23.57197,,99.09258,,-8.10464
VNM,Viet Nam,,,97.0,,0.7000000000000028,
YEM,Yemen,22.07062,68.04319,54.8,,-15.5,21.67581
ZMB,Zambia,12.10983,,75.4,86.50945,2.6000000000000085,
ZWE,Zimbabwe,13.99542,54.97931,89.0,93.18835,2.299999999999997,3.4254999999999995
