ISO,country,oos_preprimary_m,oos_preprimary_f,oos_primary_m,oos_primary_f,completion_primary_m,completion_primary_f,literacy_m,literacy_f
ISL,Iceland,2.37505,2.33892,0.41726,0.54963,,,,
IND,India,,,2.91273,1.55137,91.546,91.347,90.04483,81.84981
IDN,Indonesia,6.30979,2.65919,4.75269,9.89713,90.85314608827775,92.18017610613218,99.68345,99.65351
IRN,Iran (Islamic Republic of),50.50502,51.62581,,,,,98.26797,97.92513
IRQ,Iraq,,,,,77.9,73.2,57.00647,48.63865
IRL,Ireland,2.48378,1.63379,0.01815,0.04207,,,,
ISR,Israel,1.77131,0.27008,3.13278,2.19451,,,,
ITA,Italy,1.34415,3.31079,1.2454,1.53865,,,99.85103,99.8687
JAM,Jamaica,6.91776,4.34663,,,99.0,99.6,93.86,98.8
JPN,Japan,,,1.95527,1.56388,,,,
JOR,Jordan,,,,,96.04339074327001,96.93236363724668,99.00204,99.20273
KAZ,Kazakhstan,37.26382,34.9614,2.00941,0.06455,99.8,99.9,99.94014,99.85091
KEN,Kenya,,,18.67826,15.05817,76.6,81.6,86.93869,86.13652
KIR,Kiribati,,,,,,,,
KWT,Kuwait,24.6478,23.05308,6.71568,6.90047,,,98.77679,99.50355
KGZ,Kyrgyzstan,5.51436,3.7017,1.20721,1.71944,99.1,99.4,,
LAO,Lao People's Democratic Republic,37.42692,36.39082,6.16068,7.17883,87.08483069891876,86.42589321302252,94.40438,90.50107
LVA,Latvia,2.49364,1.26695,3.572,2.17788,,,99.80219,99.87011
LBN,Lebanon,1.44162,6.68617,8.90708,13.97448,,,,
LSO,Lesotho,64.6797,63.34961,19.44553,17.41473,60.0,83.2,79.60804,93.96988
LBR,Liberia,13.46844,18.14065,61.03746,63.64984,35.9,32.6,,
LBY,Libya,,,,,,,,
LIE,Liechtenstein,0.76923,0.05107,3.05907,1.9334,,,,
LTU,Lithuania,1.08915,0.43893,0.38375,0.12104,,,99.84547,99.86662
LUX,Luxembourg,1.55708,1.1199,1.29967,1.09671,,,,
MDG,Madagascar,,,,,,,78.41248,75.30385
MWI,Malawi,,,,,42.7,51.5,72.49172,73.3858
MYS,Malaysia,2.02698,0.74743,1.55073,1.23454,,,97.39067,97.85761
MDV,Maldives,0.54152,2.55272,0.48442,0.49595,,,99.08133,99.43955
MLI,Mali,47.85119,51.9803,29.07067,36.5337,49.7,40.7,60.52549,39.20776
MLT,Malta,4.17176,0.05173,2.69528,0.24276,,,98.40398,99.38657
MHL,Marshall Islands,33.63995,35.23677,23.93106,18.84428,,,98.16972,98.7567
MRT,Mauritania,,,25.213,21.51726,64.08252377680178,55.93695562584081,,
MUS,Mauritius,8.46751,10.22999,4.87278,2.72192,,,97.68915,98.57592
MEX,Mexico,1.28704,0.0,1.63931,0.09136,96.5,95.9,99.02592,99.20723
FSM,Micronesia (Federated States of),20.20202,27.21519,17.27601,14.60707,,,,
MCO,Monaco,,,,,,,,
MNG,Mongolia,3.44516,4.50328,0.60365,1.68763,96.3,98.5,98.02181,98.90874
MNE,Montenegro,31.21891,31.57189,3.42676,4.06977,99.9,99.9,99.36079,99.05261
MSR,Montserrat,,,,,,,,
MAR,Morocco,41.51922,50.47624,2.94928,3.34856,,,94.62719,87.7834
MOZ,Mozambique,,,11.16931,13.76539,43.3,37.2,79.06706,62.66699
MMR,Myanmar,,,,,78.1,84.0,85.11967,84.41379
NAM,Namibia,34.97712,31.31773,3.91927,0.43826,75.0,86.1,93.45852,95.34632
NRU,Nauru,32.65306,15.68627,16.79909,14.23267,,,,
NPL,Nepal,12.40875,17.91738,3.80608,6.58225,78.6,76.4,89.88402,80.20683
NLD,Netherlands,1.62661,1.31608,,,,,,
NZL,New Zealand,4.19537,3.45849,1.07685,0.54458,,,,
NIC,Nicaragua,,,,,,,,
NER,Niger,78.00609,78.29376,28.59558,37.96412,34.8,23.6,48.55718,31.64391
NGA,Nigeria,,,,,81.3,79.2,,
NIU,Niue,76.84211,,,,,,,
MKD,North Macedonia,55.53992,55.57712,8.12664,8.46039,99.7,99.3,98.76,98.5
NOR,Norway,3.85129,3.42567,0.07762,0.16893,,,,
OMN,Oman,18.34545,15.3183,1.46479,1.02755,,,98.46439,98.95638
PAK,Pakistan,,,18.10616,29.39304,64.05141705496818,55.41709819894092,79.76598,65.54779
PLW,Palau,,19.60838,,,,,98.24561,99.17051
PAN,Panama,27.85927,26.0433,12.07851,12.60659,94.8,95.5,97.93447,97.33687
PNG,Papua New Guinea,26.0956,26.8864,19.59387,25.17283,,,64.57,71.4
PRY,Paraguay,29.16884,29.12891,10.65813,10.95186,88.7,95.1,98.20768,98.70381
PER,Peru,3.36935,2.89063,1.04454,0.07131,94.9,95.1,99.25598,98.85308
PHL,Philippines,21.39952,19.27083,4.99436,4.07627,88.54095180959501,95.15562629026579,97.42543,98.81543
POL,Poland,0.60589,1.31947,4.49289,4.30842,,,,
PRT,Portugal,0.3164,0.6262,3.34335,3.8045,,,99.3918,99.47964
QAT,Qatar,8.68395,5.4718,0.94088,1.74021,,,94.80638,97.26477
KOR,Republic of Korea,3.40593,3.88243,3.63944,3.26181,,,,
MDA,Republic of Moldova,7.0741,4.01621,10.18693,10.39165,98.7,99.5,99.33775,99.58578
ROU,Romania,11.99817,11.986,10.00712,9.90415,,,99.01409,98.97622
RUS,Russian Federation,3.09171,4.12494,2.97403,1.82697,,,99.66278,99.75802
RWA,Rwanda,58.57843,57.72287,6.38696,5.74566,47.9,60.9,83.8141,86.26225
KNA,Saint Kitts and Nevis,,,,,,,,
LCA,Saint Lucia,7.9865,19.02615,,,99.2,99.0,,
VCT,Saint Vincent and the Grenadines,11.7997,9.78385,1.11111,2.20901,,,,
WSM,Samoa,65.10706,60.93482,4.33225,3.23741,,,99.02962,99.45804
SMR,San Marino,6.04396,4.82759,6.79825,7.09677,,,,
STP,Sao Tome and Principe,47.17949,44.77249,2.73868,3.27321,78.7,85.6,97.12077,96.35088
SAU,Saudi Arabia,63.33553,61.38548,0.59706,0.3292,,,99.30072,99.13699
SEN,Senegal,82.21898,80.38543,28.95473,20.59842,47.80530413516484,51.01004899261405,75.57641,63.50271
SRB,Serbia,3.41348,2.88919,1.51647,1.358,98.9,99.8,99.71523,99.72468
SYC,Seychelles,3.09874,6.97895,,,,,98.58672,99.38308
SLE,Sierra Leone,64.65871,62.70421,1.10619,0.54045,63.3,65.1,64.5305,50.85709
SGP,Singapore,,,,,,,99.91319,99.94051
SVK,Slovakia,19.14779,17.17019,,,,,,
SVN,Slovenia,3.93562,5.72205,2.84635,1.58733,,,99.79,99.9
SLB,Solomon Islands,34.87039,34.34034,30.72298,30.20762,,,,
SOM,Somalia,,,,,,,,
ZAF,South Africa,,,8.69183,8.19847,94.72360854526538,97.92231889402125,98.68459,99.22904
SSD,South Sudan,79.62798,82.64006,63.55094,72.23413,30.0,17.6,,
ESP,Spain,3.98768,3.98516,1.53664,1.39926,,,99.63757,99.60606
LKA,Sri Lanka,,,1.82187,3.57131,,,98.54505,99.14777
PSE,State of Palestine,37.6529,37.78064,5.89065,6.27012,98.8,99.5,99.45153,99.31307
SDN,Sudan,,,37.32659,38.41319,70.89212663868231,72.58979487293689,,
SUR,Suriname,10.26439,6.66806,11.57435,7.91656,80.0,89.9,98.08572,97.25966
SWE,Sweden,1.57564,1.27258,0.27974,0.51222,,,,
CHE,Switzerland,0.65144,0.52015,0.29549,0.18165,,,,
SYR,Syrian Arab Republic,60.89064,62.03841,32.08765,33.47743,,,,
TJK,Tajikistan,86.60418,88.43617,0.81312,2.15422,99.02959508368923,97.84585186197731,99.86,99.9
THA,Thailand,2.87405,3.19225,,,97.98560960281702,97.80450011203884,98.00288,98.29299
TLS,Timor-Leste,67.182,66.54614,20.68724,17.72786,76.86148553039884,84.82213665242767,80.48976,78.56844
TGO,Togo,,,5.45633,11.26805,65.6,58.9,89.67247,78.37085
TKL,Tokelau,22.07792,,,,,,,
TON,Tonga,,,5.22533,2.55557,,,99.36657,99.51043
TTO,Trinidad and Tobago,,,,,,,99.55,99.6
TUN,Tunisia,,,,,93.6,96.5,96.61184,95.80119
TUR,Turkey,33.48307,35.50262,5.182,5.95287,99.1,97.9,99.85979,99.37155
TKM,Turkmenistan,,,,,100.0,99.7,99.77,99.9
TCA,Turks and Caicos Islands,,,,,,,,
TUV,Tuvalu,5.81502,,,,,,,
UGA,Uganda,,,10.40686,7.57807,32.6,36.2,85.75978,81.6542
UKR,Ukraine,,,8.14514,6.26277,100.0,99.3,99.95707,99.98272
ARE,United Arab Emirates,11.91089,11.45843,2.02659,3.64882,,,,
GBR,United Kingdom,0.19951,0.24511,0.16834,0.30799,,,,
TZA,United Republic of Tanzania,49.29738,47.22718,20.44837,17.92332,75.2,83.5,87.0131,84.6408
USA,United States,9.73517,7.82401,3.9262,4.29742,,,,
URY,Uruguay,3.08762,2.20616,1.64182,1.66683,92.0,95.4,98.56141,99.31699
UZB,Uzbekistan,62.63395,63.59513,0.66823,2.2773,,,100.0,100.0
VUT,Vanuatu,,,14.46306,12.02528,,,95.09,95.6
VEN,Venezuela (Bolivarian Republic of),17.32722,17.71436,13.69652,13.92018,,,98.44194,99.09258
VNM,Viet Nam,0.0,1.46651,,,96.3,97.0,,
YEM,Yemen,95.39339,95.98227,11.51131,22.07062,70.3,54.8,,
ZMB,Zambia,,,15.8246,12.10983,72.8,75.4,91.19563,86.50945
ZWE,Zimbabwe,64.28099,62.82172,15.54277,13.99542,86.7,89.0,87.59186,93.18835
